EVE_TITULO;EVE_DATA_INICIO;EVE_DATA_TERMINO;EVE_REPETIR;EVE_DIA;BAI_DESCRICAO;ETE_DESCRICAO;EVE_DESCRICAO_NORM
Aulão de Zumba Azul – Dia Mundial de Conscientização do Autismo;2016-04-01;2016-04-01;0;*;Bacacheri;Lazer;informacoes
Torneio de Futsal Sub13;2016-04-02;2016-04-02;0;*;Boqueirão;Esporte;torneio futsal categoria
Festival PASE;2016-04-02;2016-04-02;0;*;Cidade Industrial de Curitiba;Esporte;festival paseo programa atendimento socioesportivo pase visa prestar atendimento criancas adolescentes anos atraves atividades fisicas socializacao qualidade vida desenvolvimento acervo motor aprimoramento tecnicas taticas esportivas consequentemente ocasionar transformacoes
Cem Voltas - Matriz;2016-03-30;2016-03-30;0;*;Jardim Botânico;Esporte;prova ciclistica velodromo
Inauguração do Portal do Futuro Tatuquara;2016-03-29;2016-03-29;0;*;Tatuquara;Inaugurações;nan
I Etapa da Corrida de Revezamento Tatuquara;2016-04-01;2016-04-01;0;*;Tatuquara;Esporte;informacoes
Caminhada contra a Dengue;2016-03-29;2016-03-29;0;*;Cidade Industrial de Curitiba;Lazer;informacoes
Zumba do Aniversário de Curitiba;2016-03-29;2016-03-29;0;*;Cidade Industrial de Curitiba;Lazer;informacoes
"Apresentação de Teatro: NORNAN; O COMEDOR DE LIVROS";2016-03-29;2016-03-29;0;*;Tatuquara;Cultura;informacoes
Circuit Zumba;2016-04-01;2016-04-01;0;*;Alto Boqueirão;Lazer;informacoes
Curso Corte para Costura;2016-04-04;2016-04-06;0;*;Tatuquara;Cursos;turma
LDO 2017 - CONSULTA PÚBLICA NA REGIONAL BAIRRO NOVO;2016-04-13;2016-04-13;1;4;Sítio Cercado;Eventos Regionais;nan
Consulta Pública;2016-04-05;2016-04-05;1;3;Santo Inácio;Eventos Regionais;consulta publica ldo prfeito gustavo fruet
Reunião com Secretários e Comunidade;2016-04-09;2016-04-09;1;7;Santa Felicidade;Eventos Regionais;reuniao secretarios transito esporte lazer jventude ippuc obrase comunidade
Ciclo de Debates Estado Planejamento e Administração Pública no Brasil;2016-04-28;2016-04-28;0;*;São Francisco;Cursos;ciclo debates planejamento administracao publica brasil ano economia popular solidariapalestrantes fernando guedes secretario municipal trabalho empregolourenca santiago ribeiro coordenadora trilhas incubadora social maristaliana maria frota carleial presidente instituto municipal administracao publicamediador joao ferreira santiago tecnico instituto municipal administracao publicaa inscricao podera ser realizada endereco http dia
PALESTRA - EMPREENDORISMO FEMININO;2016-04-05;2016-04-05;1;3;Sítio Cercado;Cursos;palestrante gina paladino presidente agencia curitibamais informacoes atraves telefone agencia curitibaprefeitura curitiba
BRINCADEIRA TEM HORA;2016-04-02;2016-04-02;1;7;Umbará;Esporte;informacoes tel
RUA DE LAZER;2016-04-02;2016-04-02;1;7;Sítio Cercado;Esporte;informacoes tel
FESTIVAL PASE ASSOCIAÇÕES FUTSAL SUB 13;2016-04-16;2016-04-16;1;7;Sítio Cercado;Esporte;informacoes tel
RUA DE LAZER;2016-04-02;2016-04-02;1;7;Sítio Cercado;Lazer;informacoes tel
ESPORTE NA PRAÇA;2016-04-16;2016-04-16;1;7;Sítio Cercado;Esporte;informacao tel
PEDALA CURITIBA - BAIRRO NOVO;2016-04-04;2016-04-04;1;2;Sítio Cercado;Esporte;informacoes tel
ESPORTE NA PRAÇA;2016-04-09;2016-04-09;1;7;Sítio Cercado;Esporte;informacoes tel
RUA DE LAZER;2016-04-16;2016-04-16;1;7;Sítio Cercado;Lazer;informacao tel
RUA DE LAZER;2016-04-09;2016-04-09;1;7;Sítio Cercado;Lazer;informacoes tel
RUA DE LAZER;2016-04-09;2016-04-09;1;7;Sítio Cercado;Lazer;informacoes tel
RUA DE LAZER;2016-04-16;2016-04-16;1;7;Sítio Cercado;Lazer;informacao tel
PEDALA CURITIBA - BAIRRO NOVO;2016-04-11;2016-04-11;1;2;Sítio Cercado;Esporte;informacoes tel
VIVER CURITIBA CAMINHANDO;2016-04-11;2016-04-11;1;2;Sítio Cercado;Esporte;informacoes tel
PEDALA CURITIBA - BAIRRO NOVO;2016-04-18;2016-04-18;1;2;Sítio Cercado;Esporte;informacao tel
RUA DE LAZER;2016-04-23;2016-04-23;1;7;Sítio Cercado;Lazer;informacao tel
RUA DE LAZER;2016-04-23;2016-04-23;1;7;Sítio Cercado;Lazer;informacao tel
